locusName	Pfam	Panther	ec	KO	GO	arabi-defline
Phvul.L001612		PTHR11289,PTHR11289:SF0			GO:0006281,GO:0000724	BREAST CANCER 2 like 2A
Phvul.010G034400	PF03094	PTHR31942		K08472	GO:0016021,GO:0006952	Seven transmembrane MLO family protein
Phvul.010G080100		PTHR33345,PTHR33345:SF3				
Phvul.010G087950	PF04950	PTHR12858,PTHR12858:SF2				P-loop containing nucleoside triphosphate hydrolases superfamily protein
Phvul.010G124000	PF04570	PTHR33059,PTHR33059:SF24				Protein of unknown function (DUF581)
Phvul.010G044100	PF01780			K02921	GO:0006412,GO:0005840,GO:0005622,GO:0003735	Zinc-binding ribosomal protein family protein
Phvul.010G120850	PF02365	PTHR31989,PTHR31989:SF5			GO:0006355,GO:0003677	NAC transcription factor-like 9
Phvul.010G162100	PF03254	PTHR31889,PTHR31889:SF12	2.4.1.69	K13681	GO:0042546,GO:0016020,GO:0008107	fucosyltransferase 1
Phvul.010G081700	PF00814	PTHR11735,PTHR11735:SF12	2.6.99.4	K01409		glycoprotease 1
Phvul.010G081700	PF00814	PTHR11735,PTHR11735:SF12	2.6.99.4	K01409		glycoprotease 1
Phvul.010G081700	PF00814	PTHR11735,PTHR11735:SF12	2.6.99.4			glycoprotease 1
Phvul.010G116100	PF02389,PF00076	PTHR24012		K12893	GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G116100	PF02389,PF00076	PTHR24012		K12893	GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G116100	PF02389,PF00076	PTHR24012			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G116100	PF02389,PF00076	PTHR24012			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G116100	PF02389,PF00076	PTHR24012			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G151000	PF01740,PF00916	PTHR11814,PTHR11814:SF85		K17471	GO:0016021,GO:0015116,GO:0008272,GO:0055085,GO:0016020,GO:0008271	sulfate transporter 3;4
Phvul.010G015900	PF03171,PF14226	PTHR10209,PTHR10209:SF98			GO:0055114,GO:0016491	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Phvul.010G140500	PF08698	PTHR21686,PTHR21686:SF12				Fcf2 pre-rRNA processing protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G118600	PF00076	PTHR24012,PTHR24012:SF421			GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Phvul.010G126700	PF00226	PTHR24078				Chaperone DnaJ-domain superfamily protein
Phvul.010G126700	PF00226	PTHR24078,PTHR24078:SF193				Chaperone DnaJ-domain superfamily protein
Phvul.010G126700	PF00226	PTHR24078,PTHR24078:SF193				Chaperone DnaJ-domain superfamily protein
Phvul.010G126700	PF00226	PTHR24078,PTHR24078:SF193				Chaperone DnaJ-domain superfamily protein
Phvul.010G126700	PF00226	PTHR24078,PTHR24078:SF193				Chaperone DnaJ-domain superfamily protein
Phvul.010G126700	PF00226	PTHR24078,PTHR24078:SF193				Chaperone DnaJ-domain superfamily protein
Phvul.010G089600	PF00892	PTHR10778,PTHR10778:SF19		K15277	GO:0016021,GO:0016020	UDP-N-acetylglucosamine (UAA) transporter family
Phvul.010G089600	PF00892	PTHR10778,PTHR10778:SF19		K15277	GO:0016021,GO:0016020	UDP-N-acetylglucosamine (UAA) transporter family
Phvul.010G128000		PTHR34045,PTHR34045:SF3				
Phvul.010G160700	PF01370	PTHR10366,PTHR10366:SF404	1.2.1.44	K09753	GO:0050662,GO:0003824	cinnamoyl coa reductase 1
Phvul.010G139800	PF00168,PF00614,PF12357	PTHR18896,PTHR18896:SF79	3.1.4.4	K01115	GO:0005515,GO:0003824	phospholipase D alpha 4
Phvul.010G139800	PF00168,PF00614,PF12357	PTHR18896,PTHR18896:SF79	3.1.4.4	K01115	GO:0005515,GO:0003824	phospholipase D alpha 4
Phvul.010G139800	PF00168,PF00614,PF12357	PTHR18896,PTHR18896:SF79	3.1.4.4	K01115	GO:0005515,GO:0003824	phospholipase D alpha 4
Phvul.010G139800	PF00614,PF00168	PTHR18896,PTHR18896:SF79	3.1.4.4		GO:0003824,GO:0005515	phospholipase D alpha 4
Phvul.010G139800	PF00614,PF00168	PTHR18896,PTHR18896:SF79	3.1.4.4		GO:0003824,GO:0005515	phospholipase D alpha 4
Phvul.010G075800	PF14416,PF13839	PTHR32285,PTHR32285:SF7				Plant protein of unknown function (DUF828)
Phvul.010G004000	PF00854	PTHR11654,PTHR11654:SF130			GO:0016020,GO:0006810,GO:0005215	Major facilitator superfamily protein
Phvul.010G058700		PTHR31949,PTHR31949:SF2				
Phvul.010G042100	PF12451,PF00637	PTHR23323,PTHR23323:SF24			GO:0016192,GO:0006886	vacuolar protein sorting 11
Phvul.010G050300						
Phvul.010G057200	PF02225	PTHR22765,PTHR22765:SF58				vacuolar sorting receptor homolog 1
Phvul.010G060700		PTHR35479	1.6.5.3			
Phvul.010G065200	PF10584,PF00227	PTHR11599,PTHR11599:SF13	3.4.25.1	K02728	GO:0019773,GO:0006511,GO:0004175,GO:0051603,GO:0005839,GO:0004298	20S proteasome alpha subunit C1
Phvul.010G065200	PF10584,PF00227	PTHR11599,PTHR11599:SF13	3.4.25.1	K02728	GO:0019773,GO:0006511,GO:0004175,GO:0051603,GO:0005839,GO:0004298	20S proteasome alpha subunit C1
Phvul.010G133600	PF00153	PTHR24089,PTHR24089:SF319		K15121		Mitochondrial substrate carrier family protein
Phvul.010G133600	PF00153	PTHR24089,PTHR24089:SF319		K15121		Mitochondrial substrate carrier family protein
Phvul.010G013600	PF08263,PF13855	PTHR27004,PTHR27004:SF37			GO:0005515	receptor like protein 7
Phvul.010G031300		PTHR33699,PTHR33699:SF2				
Phvul.010G133100	PF02824	PTHR11702,PTHR11702:SF26				developmentally regulated G-protein 1
Phvul.010G071200	PF00076,PF14111	PTHR24012,PTHR24012:SF419			GO:0003676	
Phvul.010G024600	PF01201	PTHR10394		K02995	GO:0006412,GO:0005840,GO:0005622,GO:0003735	Ribosomal protein S8e family protein
Phvul.010G009000	PF00201	PTHR11926,PTHR11926:SF220	2.4.1.323		GO:0016758,GO:0008152	UDP-glucosyl transferase 85A7
Phvul.010G009000	PF00201	PTHR11926,PTHR11926:SF220	2.4.1.324		GO:0016758,GO:0008152	UDP-glucosyl transferase 85A7
Phvul.010G000200	PF13837	PTHR10032,PTHR10032:SF215			GO:0006351,GO:0005634,GO:0003700	Homeodomain-like superfamily protein
Phvul.010G018600	PF04576	PTHR31422,PTHR31422:SF3				Protein of unknown function, DUF593
Phvul.010G001200	PF04791	PTHR31652		K14617		LMBR1-like membrane protein
Phvul.010G124300	PF00319	PTHR11945,PTHR11945:SF178			GO:0046983,GO:0003677	AGAMOUS-like 62
Phvul.010G071832		PTHR23092,PTHR23092:SF1				Nucleotidyltransferase family protein
Phvul.010G077400						
Phvul.010G165100	PF00432	PTHR11764,PTHR11764:SF16	5.4.99.39	K15813	GO:0003824	Terpenoid cyclases family protein
Phvul.010G081100	PF13812,PF12854,PF13041,PF01535	PTHR24015,PTHR24015:SF702				Tetratricopeptide repeat (TPR)-like superfamily protein
Phvul.010G011200	PF13419	PTHR12725,PTHR12725:SF72	3.1.3.74			Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Phvul.010G155200	PF13259	PTHR33373,PTHR33373:SF4				
Phvul.010G138200		PTHR10593,PTHR10593:SF24				indeterminate(ID)-domain 7
Phvul.010G084400	PF07386	PTHR34801,PTHR34801:SF1				
Phvul.010G122100	PF00560,PF08263,PF07714	PTHR27001,PTHR27001:SF81	2.7.10.2		GO:0005515,GO:0006468,GO:0004672	STRUBBELIG-receptor family 6
Phvul.010G122100	PF00560,PF07714	PTHR27001,PTHR27001:SF81	2.7.10.2		GO:0005515,GO:0006468,GO:0004672	STRUBBELIG-receptor family 6
Phvul.010G070100	PF07714	PTHR27001,PTHR27001:SF4	2.7.11.1		GO:0006468,GO:0004672	Protein kinase superfamily protein
Phvul.010G070100	PF07714	PTHR27001,PTHR27001:SF4	2.7.11.1		GO:0006468,GO:0004672	Protein kinase superfamily protein
Phvul.010G070100	PF07714	PTHR27001,PTHR27001:SF4	2.7.11.1		GO:0006468,GO:0004672	Protein kinase superfamily protein
Phvul.010G145400	PF01627	PTHR28242,PTHR28242:SF4		K14490	GO:0004871,GO:0000160	HPT phosphotransmitter 4
Phvul.010G163400	PF02325	PTHR33219,PTHR33219:SF2			GO:0016020	YGGT family protein
Phvul.010G089500	PF01476	PTHR33648,PTHR33648:SF1				peptidoglycan-binding LysM domain-containing protein
Phvul.010G016900	PF00248	PTHR11732,PTHR11732:SF223				NAD(P)-linked oxidoreductase superfamily protein
Phvul.010G161600		PTHR31096,PTHR31096:SF16				uridylyltransferase-related
Phvul.010G119600	PF00676	PTHR11516,PTHR11516:SF25	1.2.4.1	K00161	GO:0016624,GO:0008152	pyruvate dehydrogenase E1 alpha
Phvul.010G088400	PF05922,PF00082	PTHR10795,PTHR10795:SF320	3.4.21.25		GO:0006508,GO:0004252	xylem serine peptidase 1
Phvul.010G088400	PF05922,PF00082	PTHR10795,PTHR10795:SF320	3.4.21.25		GO:0006508,GO:0004252	xylem serine peptidase 1
Phvul.010G077900	PF03109	PTHR10566,PTHR10566:SF85	3.6.3.46			Protein kinase superfamily protein
Phvul.010G118100	PF05030	PTHR23107				GRF1-interacting factor 3
Phvul.010G118100	PF05030	PTHR23107				GRF1-interacting factor 3
Phvul.010G118100	PF05030	PTHR23107				GRF1-interacting factor 3
Phvul.010G140900	PF06888	PTHR20889,PTHR20889:SF4	3.6.1.1,3.1.3.75	K13248	GO:0016791,GO:0008152	Pyridoxal phosphate phosphatase-related protein
Phvul.010G082900	PF00312,PF08069	PTHR11885		K02953	GO:0006412,GO:0005840,GO:0005622,GO:0003735	ribosomal protein S13A
Phvul.010G147700	PF00857	PTHR11080	3.5.1.110		GO:0008152,GO:0003824	Isochorismatase family protein
Phvul.010G147700	PF00857	PTHR11080	3.5.1.110		GO:0008152,GO:0003824	Isochorismatase family protein
Phvul.010G041100						
Phvul.010G010800	PF03909	PTHR31923,PTHR31923:SF3				BSD domain-containing protein
Phvul.010G010800	PF03909	PTHR31923,PTHR31923:SF3				BSD domain-containing protein
Phvul.010G075200	PF03283	PTHR21562,PTHR21562:SF5			GO:0016787	Pectinacetylesterase family protein
Phvul.010G141200	PF06888	PTHR20889,PTHR20889:SF4	3.6.1.1,3.1.3.75	K13248	GO:0016791,GO:0008152	Pyridoxal phosphate phosphatase-related protein
Phvul.010G070200	PF07496,PF02362	PTHR23336,PTHR23336:SF24			GO:0008270,GO:0003677	HSI2-like 1
Phvul.010G070200	PF07496,PF02362	PTHR23336,PTHR23336:SF24			GO:0008270,GO:0003677	HSI2-like 1
Phvul.010G070200	PF07496,PF02362	PTHR23336,PTHR23336:SF24			GO:0008270,GO:0003677	HSI2-like 1
Phvul.010G070200	PF07496,PF02362	PTHR23336,PTHR23336:SF24			GO:0008270,GO:0003677	HSI2-like 1
Phvul.010G058500	PF04719	PTHR13218		K03135	GO:0006367,GO:0005634	TBP-associated factor 11
Phvul.010G144200	PF03767	PTHR31284,PTHR31284:SF5	3.1.3.2		GO:0003993	HAD superfamily, subfamily IIIB acid phosphatase 
Phvul.010G070600	PF00010	PTHR12565,PTHR12565:SF173			GO:0046983	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Phvul.010G070600	PF00010	PTHR12565,PTHR12565:SF173			GO:0046983	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Phvul.010G066600	PF00141	PTHR31388	1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	Peroxidase superfamily protein
Phvul.010G014400		PTHR35301,PTHR35301:SF1				CLAVATA3/ESR-RELATED 44
Phvul.010G078102	PF05922,PF00082	PTHR10795,PTHR10795:SF394	3.4.14.10		GO:0006508,GO:0004252	Subtilase family protein
Phvul.010G037600	PF00201	PTHR11926,PTHR11926:SF360	2.4.1.273		GO:0016758,GO:0008152	UDP-Glycosyltransferase superfamily protein
Phvul.010G056400		PTHR33779,PTHR33779:SF2				
Phvul.010G065500	PF04398	PTHR31676,PTHR31676:SF0				Protein of unknown function, DUF538
Phvul.010G085100	PF13499	PTHR10891,PTHR10891:SF573				EF hand calcium-binding protein family
Phvul.010G123600	PF04525	PTHR31087,PTHR31087:SF25				Protein of unknown function (DUF567)
Phvul.010G036700	PF00076,PF14111	PTHR24012,PTHR24012:SF419			GO:0003676	
Phvul.010G025400	PF01582,PF00931	PTHR11017,PTHR11017:SF163			GO:0007165,GO:0005515,GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G025400	PF01582,PF00931	PTHR11017,PTHR11017:SF163			GO:0007165,GO:0005515,GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G025400	PF00931	PTHR11017,PTHR11017:SF163			GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G025400	PF00931	PTHR11017,PTHR11017:SF163			GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G025400	PF00931	PTHR11017,PTHR11017:SF163			GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G025400	PF01582,PF00931	PTHR11017,PTHR11017:SF163			GO:0007165,GO:0005515,GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G025400	PF01582,PF00931	PTHR11017,PTHR11017:SF163			GO:0007165,GO:0005515,GO:0043531	Disease resistance protein (TIR-NBS-LRR class) family
Phvul.010G162300	PF00646	PTHR31264,PTHR31264:SF13			GO:0005515	F-box family protein
Phvul.010G153700	PF00641	PTHR23111,PTHR23111:SF34			GO:0008270	Ran BP2/NZF zinc finger-like superfamily protein
Phvul.010G098800	PF09736	PTHR31809		K13106		
Phvul.010G088700	PF05922,PF02225,PF00082	PTHR10795,PTHR10795:SF387	3.4.21.25		GO:0006508,GO:0004252	subtilase family protein
